grau_flocu,x,y
75.0,333353,8946244
40.0,335782,8949468
8.0,354402,8905960
22.0,352442,8898104
25.0,331005,8916778
25.0,331003,8915766
44.0,338082,8917618
9.0,354177,8905250
19.0,350802,8903700
15.0,352963,8902790
34.0,332531,8954210
75.0,335119,8950698
67.0,333182,8945648
67.0,338239,8945978
57.0,333968,8949822
12.0,334190,8950920
63.0,353396,8935731
13.0,344687,8961239
35.0,43654,8383512
20.0,-85173,8421499
33.0,-63513,8421995
28.0,-88694,8417718
29.0,-72450,8418094
21.0,9751,8368055
24.0,85409,8362084
64.0,-4639,8367760
13.0,344472,8961393
82.0,358772,8541895
57.0,288333,8632395
64.0,186330,8625626
17.0,537576,8642945
29.0,311357,8867265
69.0,295450,8343600
58.0,263908,8731728
52.0,331663,8507570
52.0,322739,8645981
36.0,460568,8592564
27.0,353281,8107160
37.0,142235,8362829
40.0,241627,8468942
63.0,143422,8607373
79.0,125764,8448232
81.0,231767,8554478
94.0,565092,8588629
44.0,318967,8587852
36.0,590154,8726612
33.0,564925,8695033
59.0,103314,8367585
44.0,328770,8768807
39.0,363136,8618101
56.0,126013,8384708
35.0,218660,8504503
38.0,379148,8583132
50.0,470186,8161807
33.0,478463,8522472
46.0,478449,8205689
45.0,525702,8610920
40.0,432120,8558277
52.0,470565,8621677
30.0,219313,8644889
43.0,273789,8608261
29.0,111284,8808138
38.0,378019,8841659
48.0,86704,8404133
36.0,99661,8547804
34.0,227344,8701697
56.0,60199,8498008
39.0,222422,8611246
46.0,148314,8503260
28.0,206872,8466415
30.0,95637,8588277
54.0,234167,8334313
42.0,483697,8317418
47.0,474970,8393900
69.0,447976,8475791
78.0,376121,8465542
35.0,554525,8616217
24.0,539711,8601382
77.0,444376,8292494
64.0,452023,8377823
24.0,630451,8672395
50.0,421063,8220214
69.0,475406,8561927
50.0,451377,8362997
60.0,502092,8568913
47.0,471049,8342039
20.0,360800,8058581
35.0,353304,8814198
35.0,618778,8722379
50.0,324040,8706849
56.0,312502,8808138
33.0,485509,8365689
45.0,536936,8574966
33.0,-37244,8550072
20.0,586550,8594418
60.0,407554,8813799
37.0,488290,8269910
33.0,467143,8362337
47.0,461959,8333506
0.0,570076,8662348
17.0,418595,8119521
46.0,386493,8308295
63.0,454468,8422620
67.0,457164,8067947
43.0,506388,8627343
77.0,438801,8358357
100.0,426177,8044239
54.0,373046,8357108
38.0,551593,8667472
5.0,416238,8073332
50.0,496265,8652158
36.0,520538,8780310
0.0,428486,8980949
8.0,592315,8677440
8.0,531546,8692961
23.0,581245,8633366
10.0,326718,8673546
33.0,450338,8852227
36.0,509298,8842995
33.0,492162,8760108
17.0,348534,8281848
41.0,467791,8575623
21.0,620197,8826121
26.0,251817,8496867
8.0,556021,8598551
31.0,99497,8464321
45.0,34853,8528398
30.0,116345,8523995
21.0,479255,8975155
57.0,93776,8639170
25.0,135063,8576084
19.0,544725,8721517
57.0,500623,8710410
20.0,210185,8882480
40.0,589349,8705397
44.0,176644,8471200
25.0,652935,8717549
47.0,437918,8592110
37.0,489785,8579920
29.0,500132,8598874
17.0,374343,8677274
30.0,359023,8767912
48.0,401987,8349864
59.0,464547,8639567
53.0,443414,8343556
57.0,421267,8325030
33.0,158739,8545672
17.0,549469,8901207
20.0,577506,8945277
39.0,501896,8680455
36.0,494603,8808702
33.0,614754,8864720
25.0,8052,8452124
25.0,44556,8428735
15.0,421677,8772166
20.0,465114,9023696
25.0,515778,9016333
60.0,415176,8571746
43.0,483997,8631412
50.0,453438,8694805
57.0,476908,8593217
0.0,593982,8921193
79.0,456685,8401969
26.0,29944,8412658
18.0,150948,8597918
20.0,145797,8782108
19.0,550375,8657314
29.0,543253,8616111
10.0,346572,8939507
1.0,350677,8928464
24.0,344522,8941511
16.0,522374,8977999
28.0,207380,8804853
30.0,232257,8736644
21.0,203791,8868215
59.0,459448,8857370
27.0,145873,8775065
36.0,406532,9021625
28.0,186616,8750317
22.0,588155,8839192
28.0,597245,8830122
0.0,311452,8851863
26.0,222076,8744603
39.0,107224,8359589
62.0,101527,8402820
42.0,382320,8891149
23.0,512410,8602603
25.0,432628,8601987
0.0,78856,8785350
38.0,483723,9001120
0.0,58209,8477683
29.0,228755,8923749
67.0,493887,9018215
25.0,-18942,8372342
47.0,465910,8371148
52.0,491071,8273461
18.0,-10740,8410848
30.0,-17455,8396592
26.0,-7774,8412928
28.0,32408,8517570
33.0,489927,8652335
32.0,478872,8626188
44.0,445484,8721654
38.0,595895,8717529
20.0,406357,8642135
27.0,119823,8517945
70.0,491915,8742809
50.0,489756,8678084
29.0,55001,8384781
14.0,490852,8971979
41.0,233246,8624966
60.0,106471,8735891
96.0,102192,8488466
39.0,107481,8470416
25.0,248085,8542601
14.0,257459,8596848
50.0,200248,8341801
29.0,64259,8417316
59.0,187691,8555908
26.0,154835,8452968
44.0,96295,8546814
60.0,94406,8538729
75.0,469705,8727714
25.0,355062,8848046
40.0,369273,8602772
38.0,516060,8561853
0.0,271714,8731931
25.0,575406,8600971
50.0,566123,8983987
60.0,111268,8787754
50.0,71826,8780216
65.0,511332,8972994
38.0,191465,8507755
5.0,437355,8315783
61.0,331830,8573415
33.0,507236,8588666
77.0,300898,8599027
19.0,534397,8608921
64.0,552583,8654969
31.0,-263663,8524435
13.0,-26267,8642933
10.0,-53564,8549911
17.0,-38172,8598319
74.0,57419,8418874
22.0,223961,8911979
85.0,258625,8674320
94.0,258478,8692761
76.0,166457,8483325
20.0,224030,8902757
60.0,241825,8974813
11.0,-175109,8611303
12.0,-37349,8651982
25.0,-17562,8665281
19.0,-59858,8503516
75.0,192862,8911732
36.0,326271,8932882
34.0,-23087,8668883
65.0,123708,8443965
91.0,436111,8127723
29.0,-111912,8646833
45.0,-5090,8576739
36.0,-96854,8537889
53.0,-22922,8559764
40.0,-98475,8704497
46.0,-193513,8554147
44.0,-117633,8574479
67.0,-186502,8493124
29.0,-16696,8837275
58.0,-44593,8649995
91.0,-37027,8539136
100.0,-12350,8576607
19.0,-83514,8508564
26.0,4978,8521449
39.0,22390,8779824
24.0,-78321,8519785
38.0,-70843,8508839
18.0,-135262,8631510
17.0,-107321,8519145
35.0,60689,8941793
40.0,-63791,8518239
17.0,-265740,8743509
37.0,-61235,8570116
43.0,-132261,8500037
27.0,-81498,8700308
36.0,18652,8567907
0.0,424276,8020783
36.0,5761,8578775
10.0,-153847,8647778
33.0,-60326,8525718
29.0,-107237,8515435
20.0,-24876,8613344
35.0,4640,8539926
27.0,23496,8603116
75.0,48899,8890690
20.0,-10421,8785594
89.0,446680,8159096
50.0,42283,8947118
30.0,-109546,8620948
22.0,5198,8721133
64.0,-144860,8496031
51.0,-84130,8531757
25.0,6968,8613928
19.0,46331,8651532
26.0,-162747,8638316
4.0,-155720,8705223
22.0,-111255,8800541
0.0,-188520,8572821
0.0,-28111,8750171
40.0,128538,8938831
42.0,-7211,8815230
65.0,521494,8612342
32.0,541065,8626663
11.0,229067,8735271
23.0,209808,8745648
12.0,249939,8744665
14.0,189834,8747988
50.0,493503,8194130
0.0,481670,8186195
40.0,483540,8184968
27.0,483450,8186197
57.0,484310,8187027
44.0,486683,8186691
50.0,483301,8187334
40.0,485791,8188134
50.0,487720,8187890
45.0,486678,8194588
25.0,488784,8195450
41.0,474290,8190239
26.0,474511,8190797
42.0,475437,8191044
50.0,476740,8192214
36.0,478194,8191785
33.0,475675,8190277
33.0,494274,8195205
72.0,474607,8189753
40.0,479272,8192346
50.0,479478,8193129
67.0,481871,8194523
38.0,495218,8189685
0.0,491468,8189767
28.0,493740,8193331
25.0,491614,8189662
20.0,490181,8190349
51.0,488786,8191547
0.0,492166,8198985
30.0,493797,8200029
0.0,497657,8189952
67.0,492199,8186786
24.0,493622,8192010
27.0,495847,8190105
29.0,495461,8190290
